predictor_metric_id,outcome_id,outcome_estimand,pair_lineage_status,admissible_analysis_role
pop_per_land_area,census_density_level,level,lineage_entangled,sensitivity_only
pop_per_land_area,census_density_change,change,lineage_entangled,sensitivity_only
pop_per_land_area,ghs_pop_density_level_sensitivity,level,lineage_entangled,sensitivity_only
pop_per_land_area,ghs_pop_density_change_sensitivity,change,lineage_entangled,sensitivity_only
pop_per_built_surface,census_density_level,level,lineage_entangled,sensitivity_only
pop_per_built_surface,census_density_change,change,lineage_entangled,sensitivity_only
pop_per_built_surface,ghs_pop_density_level_sensitivity,level,lineage_entangled,sensitivity_only
pop_per_built_surface,ghs_pop_density_change_sensitivity,change,lineage_entangled,sensitivity_only
pop_per_built_volume,census_density_level,level,lineage_entangled,sensitivity_only
pop_per_built_volume,census_density_change,change,lineage_entangled,sensitivity_only
pop_per_built_volume,ghs_pop_density_level_sensitivity,level,lineage_entangled,sensitivity_only
pop_per_built_volume,ghs_pop_density_change_sensitivity,change,lineage_entangled,sensitivity_only
pop_per_residential_volume,census_density_level,level,lineage_entangled,sensitivity_only
pop_per_residential_volume,census_density_change,change,lineage_entangled,sensitivity_only
pop_per_residential_volume,ghs_pop_density_level_sensitivity,level,lineage_entangled,sensitivity_only
pop_per_residential_volume,ghs_pop_density_change_sensitivity,change,lineage_entangled,sensitivity_only
census_pop_per_built_surface,census_density_level,level,clean,headline
census_pop_per_built_surface,census_density_change,change,clean,headline
census_pop_per_built_surface,ghs_pop_density_level_sensitivity,level,lineage_entangled,sensitivity_only
census_pop_per_built_surface,ghs_pop_density_change_sensitivity,change,lineage_entangled,sensitivity_only
census_pop_per_built_volume,census_density_level,level,clean,headline
census_pop_per_built_volume,census_density_change,change,clean,headline
census_pop_per_built_volume,ghs_pop_density_level_sensitivity,level,lineage_entangled,sensitivity_only
census_pop_per_built_volume,ghs_pop_density_change_sensitivity,change,lineage_entangled,sensitivity_only
built_surface_per_land_area,census_density_level,level,clean,headline
built_surface_per_land_area,census_density_change,change,clean,headline
built_surface_per_land_area,ghs_pop_density_level_sensitivity,level,lineage_entangled,sensitivity_only
built_surface_per_land_area,ghs_pop_density_change_sensitivity,change,lineage_entangled,sensitivity_only
volume_per_surface,census_density_level,level,clean,headline
volume_per_surface,census_density_change,change,clean,not_admissible
volume_per_surface,ghs_pop_density_level_sensitivity,level,lineage_entangled,sensitivity_only
volume_per_surface,ghs_pop_density_change_sensitivity,change,lineage_entangled,not_admissible
