persistence,panel_length,estimator_id,covered_panels,evaluated_panels,empirical_coverage,median_interval_width,coverage_wilson_lower,coverage_wilson_upper,production_design,coverage_gate_eligible,coverage_gate_pass,nominal_confidence,simulation_replications,bootstrap_replications,cities,countries,seed
0.2,6,city_fe_dynamic,146,200,0.73,0.250461475592498,0.6645656480133157,0.7867655018531416,True,False,,0.95,200,399,48,6,314159
0.2,6,half_panel_jackknife,200,200,1.0,0.442764001483967,0.9811546736227336,1.0,True,True,False,0.95,200,399,48,6,314159
0.2,6,pooled_dynamic,0,200,0.0,0.2160641294108115,1.734723475976807e-18,0.0188453263772665,True,False,,0.95,200,399,48,6,314159
0.2,8,city_fe_dynamic,173,200,0.865,0.2063619027473903,0.8107086162924745,0.9055342954521208,True,False,,0.95,200,399,48,6,314159
0.2,8,half_panel_jackknife,200,200,1.0,0.3297787251307381,0.9811546736227336,1.0,True,True,False,0.95,200,399,48,6,314159
0.2,8,pooled_dynamic,0,200,0.0,0.2011018748758733,1.734723475976807e-18,0.0188453263772665,True,False,,0.95,200,399,48,6,314159
0.2,10,city_fe_dynamic,173,200,0.865,0.1827265333747902,0.8107086162924745,0.9055342954521208,True,False,,0.95,200,399,48,6,314159
0.2,10,half_panel_jackknife,200,200,1.0,0.2656542787653218,0.9811546736227336,1.0,True,True,False,0.95,200,399,48,6,314159
0.2,10,pooled_dynamic,0,200,0.0,0.1877725814117776,1.734723475976807e-18,0.0188453263772665,True,False,,0.95,200,399,48,6,314159
0.6,6,city_fe_dynamic,88,200,0.44,0.2658527719954006,0.3729781925118586,0.5092832466534134,True,False,,0.95,200,399,48,6,314159
0.6,6,half_panel_jackknife,200,200,1.0,0.5173958032842159,0.9811546736227336,1.0,True,True,False,0.95,200,399,48,6,314159
0.6,6,pooled_dynamic,0,200,0.0,0.1071464528285462,1.734723475976807e-18,0.0188453263772665,True,False,,0.95,200,399,48,6,314159
0.6,8,city_fe_dynamic,105,200,0.525,0.2047378250669518,0.4559739601468475,0.5930837735342891,True,False,,0.95,200,399,48,6,314159
0.6,8,half_panel_jackknife,200,200,1.0,0.3744947888901051,0.9811546736227336,1.0,True,True,False,0.95,200,399,48,6,314159
0.6,8,pooled_dynamic,0,200,0.0,0.0966404791854663,1.734723475976807e-18,0.0188453263772665,True,False,,0.95,200,399,48,6,314159
0.6,10,city_fe_dynamic,126,200,0.63,0.176523128943964,0.5612262992405018,0.6938739159014088,True,False,,0.95,200,399,48,6,314159
0.6,10,half_panel_jackknife,200,200,1.0,0.2963731262541829,0.9811546736227336,1.0,True,True,False,0.95,200,399,48,6,314159
0.6,10,pooled_dynamic,0,200,0.0,0.0910397321022036,1.734723475976807e-18,0.0188453263772665,True,False,,0.95,200,399,48,6,314159
0.9,6,city_fe_dynamic,22,200,0.11,0.2752491382936611,0.073772444601253,0.1609269099730149,True,False,,0.95,200,399,48,6,314159
0.9,6,half_panel_jackknife,200,200,1.0,0.5503632538060994,0.9811546736227336,1.0,True,True,False,0.95,200,399,48,6,314159
0.9,6,pooled_dynamic,0,200,0.0,0.025348686116058,1.734723475976807e-18,0.0188453263772665,True,False,,0.95,200,399,48,6,314159
0.9,8,city_fe_dynamic,26,200,0.13,0.2006233144298674,0.0902820227966932,0.183663518722484,True,False,,0.95,200,399,48,6,314159
0.9,8,half_panel_jackknife,200,200,1.0,0.3959266527613324,0.9811546736227336,1.0,True,True,False,0.95,200,399,48,6,314159
0.9,8,pooled_dynamic,0,200,0.0,0.0220052754285883,1.734723475976807e-18,0.0188453263772665,True,False,,0.95,200,399,48,6,314159
0.9,10,city_fe_dynamic,22,200,0.11,0.1644698126301195,0.073772444601253,0.1609269099730149,True,False,,0.95,200,399,48,6,314159
0.9,10,half_panel_jackknife,200,200,1.0,0.3029785935796894,0.9811546736227336,1.0,True,True,False,0.95,200,399,48,6,314159
0.9,10,pooled_dynamic,0,200,0.0,0.0203933252919063,1.734723475976807e-18,0.0188453263772665,True,False,,0.95,200,399,48,6,314159
