origin,model,n,mae,rmse,median_absolute_error,bias,directional_accuracy
1985,country_mean,5553,0.013424283935260893,0.020900786669861997,0.008740621143740378,0.0001697181685113386,0.8570142265442103
1985,country_mean_leave_city_out,5553,0.013782573428850758,0.021581710011493647,0.008942076772839858,3.112186087095734e-06,0.8561138123536827
1985,global_mean,5553,0.015606360736422731,0.02269096534106752,0.01165227012341366,-0.00037933423385614555,0.8647577885827481
1985,persistence,5553,0.01015639003572651,0.019988495944024413,0.0049678515487368465,0.001568502916638364,0.902215018908698
1985,zero_growth,5553,0.02025212318379191,0.028751023647244627,0.014553385467478109,-0.017660275963751748,0.00018008283810552856
1990,country_mean,6145,0.01708907399054669,0.02558968385445496,0.01228017419124115,-0.0030188708798584442,0.8175752644426363
1990,country_mean_leave_city_out,6145,0.017292050823265247,0.025666652611077145,0.012489070974050555,-0.0031403712965569716,0.8156224572823434
1990,global_mean,6145,0.018589066578198216,0.02643052530899052,0.01444760408333078,-0.00390767934566094,0.8192026037428803
1990,persistence,6145,0.016347160859682703,0.026039826805825343,0.010667252052327925,-0.0016866842013377958,0.8016273393002441
1990,zero_growth,6145,0.024301686574111046,0.03377439712374778,0.019012704350313214,-0.021387079997791627,0.0
1995,country_mean,6697,0.01684444323322415,0.024787395664861354,0.011421185471842493,0.0031190769676072943,0.7428699417649693
1995,country_mean_leave_city_out,6697,0.01703002677756541,0.02503117956514242,0.011553898843586471,0.0030552187286083683,0.7427206211736599
1995,global_mean,6697,0.019281235075047913,0.026492776925796893,0.01513732850071152,0.0020275056245931474,0.7424219799910408
1995,persistence,6697,0.012502499525844374,0.021545717505101782,0.00753434444751875,0.006535049708489679,0.8581454382559355
1995,zero_growth,6697,0.022859367853590645,0.03135044132113234,0.018099529551290773,-0.016884718559913366,0.0
2000,country_mean,7509,0.013135312837031477,0.018606672586505286,0.010355097570733801,0.005348212686144074,0.8166200559328806
2000,country_mean_leave_city_out,7509,0.01325275332201015,0.018761294797645905,0.010432436831671194,0.005283316260709459,0.8159541883073645
2000,global_mean,7509,0.014503847199823455,0.01999729830316422,0.011568641824332562,0.003913604682470139,0.8050339592489013
2000,persistence,7509,0.01602425070205514,0.027436805646190818,0.00922996739057709,0.005372328788417383,0.8355306964975363
2000,zero_growth,7509,0.017534566791517898,0.024341415944384878,0.013522299042150365,-0.01441973967734758,0.0
2005,country_mean,8290,0.01343810641105759,0.019014788314930173,0.010496907658608466,0.005547895407337994,0.7997587454764777
2005,country_mean_leave_city_out,8290,0.013534398961395968,0.019153787921893057,0.010555055363034208,0.005503928907435015,0.7995174909529553
2005,global_mean,8290,0.014569980623922615,0.020207665710304128,0.01164133555867899,0.004011870928019112,0.7904704463208685
2005,persistence,8290,0.00988019875227788,0.018535776034832547,0.005327537618024004,0.0026155458943409437,0.8803377563329312
2005,zero_growth,8290,0.01680766072051135,0.02389720525353194,0.01245826567086592,-0.013372425876149702,0.0
2010,country_mean,8985,0.014389879855265202,0.020693461363464772,0.01103620134986803,0.005810801291720739,0.7775180856983862
2010,country_mean_leave_city_out,8985,0.014480375714021347,0.020811752716721855,0.011093100916741368,0.005781967793865274,0.7767390094602115
2010,global_mean,8985,0.015262976728722505,0.021044798012477557,0.012156907604169119,0.00430928266178007,0.7702838063439065
2010,persistence,8985,0.011312691499610623,0.021388385219320023,0.0057617701370453744,0.0027491996172378337,0.8563160823594881
2010,zero_growth,8985,0.01622751202985539,0.023954792097635708,0.010836677499550262,-0.01222777404575702,0.00011129660545353366
2015,country_mean,9674,0.019266448385499107,0.026991296160057472,0.014816562837176635,0.01185806383828995,0.6126731445110606
2015,country_mean_leave_city_out,9674,0.019341989754892427,0.027084066259018685,0.01488025640248579,0.011823117817995152,0.6112259665081662
2015,global_mean,9674,0.01940847172206315,0.026328782555713873,0.015624217344113716,0.010336613521946734,0.6006822410585073
2015,persistence,9674,0.013831174171770523,0.023557196461612685,0.008230164346470129,0.008233107915580407,0.7581145338019434
2015,zero_growth,9674,0.01641172033480414,0.02480918361111345,0.01041215835654228,-0.005397812490812288,0.0
