scope,origin,weighting,n_cities,n_countries,b0_mae,b0_rmse,b1_mae,b1_rmse,relative_rmse_improvement,mae_difference,rmse_condition_passed,mae_condition_passed,gate_passed
origin,1985,country_balanced,6112,139,0.016690685786442713,0.025606497283184922,0.01150308641176738,0.0184270366081569,0.2803765230218572,-0.0051875993746753335,True,True,True
origin,1985,row_weighted,6112,139,0.013440747005592512,0.021523125575522096,0.009789512914211613,0.0173371134008418,0.1944890466764261,-0.003651234091380899,True,True,True
origin,1990,country_balanced,6710,143,0.01737311992991422,0.0248806012921097,0.014865808618249316,0.02209803373200761,0.11183682932070117,-0.0025073113116649056,True,True,True
origin,1990,row_weighted,6710,143,0.017302222074869852,0.025279216653142273,0.015151907041849997,0.02223998599789664,0.1202264570515419,-0.002150315033019856,True,True,True
origin,1995,country_balanced,7247,146,0.016233163898956675,0.025725921070932196,0.012904456895322457,0.021361728619304316,0.16964183477026196,-0.003328707003634218,True,True,True
origin,1995,row_weighted,7247,146,0.017447325012810964,0.025539938110286972,0.012681882846626238,0.019240835627472783,0.24663734327050063,-0.004765442166184726,True,True,True
origin,2000,country_balanced,8020,150,0.013648385943690597,0.020931232214448807,0.011429957993616631,0.017794100247074663,0.14987803561839924,-0.002218427950073966,True,True,True
origin,2000,row_weighted,8020,150,0.012343597113702306,0.018496580689216998,0.011743772899461092,0.019237149422375366,-0.040038142487065144,-0.0005998242142412138,False,True,False
origin,2005,country_balanced,8796,156,0.013553216887788462,0.023351394634347336,0.011078764524864476,0.021904615734854967,0.06195685192028385,-0.0024744523629239863,True,True,True
origin,2005,row_weighted,8796,156,0.011993723627373179,0.018810895285292315,0.009308835310808393,0.016048822757820047,0.14683365600529663,-0.0026848883165647864,True,True,True
origin,2010,country_balanced,9448,158,0.014120376294872599,0.02407630206568805,0.011419893599537536,0.022566852060053426,0.06269442880041748,-0.0027004826953350627,True,True,True
origin,2010,row_weighted,9448,158,0.012737405358700405,0.020027270127973406,0.01041306371344616,0.01815161913676539,0.09365485057237878,-0.0023243416452542447,True,True,True
origin,2015,country_balanced,9966,162,0.01810688318832756,0.029181977279243407,0.015595967191255871,0.02676763911038563,0.08273387871407364,-0.002510915997071688,True,True,True
origin,2015,row_weighted,9966,162,0.01594038435886002,0.023963931536875684,0.0131028368600122,0.02069583216290129,0.13637575991841921,-0.00283754749884782,True,True,True
origin,2020,country_balanced,10684,164,0.011351816072073242,0.018172971317475965,0.012913331492524816,0.020823321151615438,-0.14584020344492452,0.001561515420451574,False,False,False
origin,2020,row_weighted,10684,164,0.009622122226476744,0.01554869936304603,0.011288553372649985,0.01854229633887999,-0.19253037864689324,0.0016664311461732414,False,False,False
aggregate,,country_balanced,66983,165,0.01513470600025826,0.024190590003380093,0.01271390834089231,0.021621818944951774,0.10618885517341208,-0.0024207976593659496,True,True,True
aggregate,,row_weighted,66983,165,0.013853440847298247,0.021411647127806705,0.011685045619883209,0.019021863616094644,0.11161138129389944,-0.0021683952274150382,True,True,True
