period_start,country_code,excluded_city_rows
1980,ALB,1
1980,BHR,1
1980,BHS,1
1980,BRB,1
1980,BTN,1
1980,CAF,1
1980,COM,1
1980,CPV,1
1980,DJI,1
1980,FJI,1
1980,GIB,1
1980,GIN,1
1980,GMB,1
1980,GNB,1
1980,ISL,1
1980,KHM,1
1980,LAO,1
1980,LBN,1
1980,LBR,1
1980,LUX,1
1980,MAC,1
1980,MDG,1
1980,MLT,1
1980,MNG,1
1980,MTQ,1
1980,MUS,1
1980,PAN,1
1980,PRY,1
1980,REU,1
1980,SUR,1
1980,TLS,1
1980,UGA,1
1985,BHR,1
1985,BHS,1
1985,BRB,1
1985,BTN,1
1985,CAF,1
1985,COM,1
1985,CPV,1
1985,DJI,1
1985,FJI,1
1985,GIB,1
1985,GMB,1
1985,GNB,1
1985,ISL,1
1985,KHM,1
1985,KWT,1
1985,LAO,1
1985,LBR,1
1985,LSO,1
1985,LUX,1
1985,MAC,1
1985,MLT,1
1985,MNG,1
1985,MRT,1
1985,MTQ,1
1985,MUS,1
1985,MWI,1
1985,NAM,1
1985,OMN,1
1985,PRY,1
1985,PYF,1
1985,REU,1
1985,RWA,1
1985,SUR,1
1985,TLS,1
1985,UGA,1
1990,BHR,1
1990,BHS,1
1990,BRB,1
1990,BTN,1
1990,CAF,1
1990,CPV,1
1990,DJI,1
1990,FJI,1
1990,GIB,1
1990,GMB,1
1990,GNB,1
1990,ISL,1
1990,KWT,1
1990,LAO,1
1990,LBR,1
1990,LSO,1
1990,LUX,1
1990,MAC,1
1990,MDV,1
1990,MLT,1
1990,MNG,1
1990,MRT,1
1990,MTQ,1
1990,MUS,1
1990,NAM,1
1990,NCL,1
1990,OMN,1
1990,PYF,1
1990,QAT,1
1990,REU,1
1990,RWA,1
1990,SUR,1
1990,TLS,1
1990,UGA,1
1995,BHR,1
1995,BHS,1
1995,BRB,1
1995,BTN,1
1995,CAF,1
1995,CPV,1
1995,DJI,1
1995,FJI,1
1995,GIB,1
1995,GLP,1
1995,GMB,1
1995,GNB,1
1995,ISL,1
1995,KWT,1
1995,LAO,1
1995,LBR,1
1995,LSO,1
1995,LUX,1
1995,MAC,1
1995,MDV,1
1995,MLT,1
1995,MNG,1
1995,MRT,1
1995,MTQ,1
1995,MUS,1
1995,NAM,1
1995,NCL,1
1995,PYF,1
1995,QAT,1
1995,REU,1
1995,STP,1
1995,SUR,1
1995,TLS,1
2000,BHR,1
2000,BHS,1
2000,BRB,1
2000,BTN,1
2000,BWA,1
2000,CPV,1
2000,DJI,1
2000,FJI,1
2000,GIB,1
2000,GMB,1
2000,GNB,1
2000,ISL,1
2000,LAO,1
2000,LBR,1
2000,LSO,1
2000,LUX,1
2000,MAC,1
2000,MDV,1
2000,MLT,1
2000,MNG,1
2000,MTQ,1
2000,MUS,1
2000,NAM,1
2000,NCL,1
2000,PYF,1
2000,QAT,1
2000,REU,1
2000,STP,1
2000,SUR,1
2000,SWZ,1
2000,TLS,1
2005,BHR,1
2005,BHS,1
2005,BRB,1
2005,BWA,1
2005,FJI,1
2005,GIB,1
2005,GNB,1
2005,ISL,1
2005,LAO,1
2005,LBR,1
2005,LSO,1
2005,LUX,1
2005,MAC,1
2005,MDV,1
2005,MLT,1
2005,MTQ,1
2005,MUS,1
2005,NAM,1
2005,NCL,1
2005,PYF,1
2005,QAT,1
2005,SLB,1
2005,STP,1
2005,SUR,1
2005,SWZ,1
2005,TLS,1
2010,BHR,1
2010,BHS,1
2010,BLZ,1
2010,BRB,1
2010,BWA,1
2010,ESH,1
2010,GIB,1
2010,GNB,1
2010,ISL,1
2010,LBR,1
2010,LSO,1
2010,LUX,1
2010,MAC,1
2010,MCO,1
2010,MDV,1
2010,MLT,1
2010,MTQ,1
2010,MUS,1
2010,MYT,1
2010,NAM,1
2010,NCL,1
2010,PYF,1
2010,QAT,1
2010,SLB,1
2010,STP,1
2010,SUR,1
2010,SWZ,1
2010,TLS,1
2015,BHR,1
2015,BHS,1
2015,BLZ,1
2015,BRB,1
2015,GIB,1
2015,GUF,1
2015,ISL,1
2015,LSO,1
2015,LUX,1
2015,MAC,1
2015,MCO,1
2015,MDV,1
2015,MLT,1
2015,MNE,1
2015,MTQ,1
2015,MUS,1
2015,MYT,1
2015,NAM,1
2015,NCL,1
2015,PYF,1
2015,SLB,1
2015,STP,1
2015,SUR,1
2015,TLS,1
2020,BHR,1
2020,BHS,1
2020,BLZ,1
2020,BRB,1
2020,CUW,1
2020,GIB,1
2020,GUF,1
2020,ISL,1
2020,JEY,1
2020,LSO,1
2020,LUX,1
2020,MAC,1
2020,MCO,1
2020,MDV,1
2020,MLT,1
2020,MNE,1
2020,MTQ,1
2020,MUS,1
2020,MYT,1
2020,NCL,1
2020,PYF,1
2020,SLB,1
2020,STP,1
2020,SUR,1
2020,TLS,1
